-74.25,40.5,42
-74.25,40.51,42
-74.24,40.5,42
-74.24,40.51,42
-74.24,40.52,42
-74.24,40.53,42
-74.24,40.54,42
-74.23,40.51,42
-74.23,40.52,42
-74.23,40.53,42
-74.23,40.54,42
-74.23,40.55,42
-74.22,40.51,42
-74.22,40.52,42
-74.22,40.53,42
-74.22,40.54,42
-74.22,40.55,42
-74.21,40.51,42
-74.21,40.52,42
-74.21,40.53,42
-74.21,40.54,42
-74.21,40.55,42
-74.21,40.56,42
-74.2,40.52,42
-74.2,40.53,42
-74.2,40.54,42
-74.2,40.55,42
-74.2,40.56,42
-74.2,40.57,42
-74.2,40.58,42
-74.2,40.59,42
-74.2,40.62,42
-74.2,40.63,42
-74.19,40.52,42
-74.19,40.53,42
-74.19,40.54,42
-74.19,40.55,42
-74.19,40.56,42
-74.19,40.57,42
-74.19,40.58,42
-74.19,40.59,42
-74.19,40.6,42
-74.19,40.61,42
-74.19,40.62,42
-74.19,40.63,42
-74.19,40.64,42
-74.18,40.53,42
-74.18,40.54,42
-74.18,40.55,42
-74.18,40.56,42
-74.18,40.57,42
-74.18,40.58,42
-74.18,40.59,42
-74.18,40.6,42
-74.18,40.61,42
-74.18,40.62,42
-74.18,40.63,42
-74.18,40.64,42
-74.17,40.53,42
-74.17,40.54,42
-74.17,40.55,42
-74.17,40.56,42
-74.17,40.57,42
-74.17,40.58,42
-74.17,40.59,42
-74.17,40.6,42
-74.17,40.61,42
-74.17,40.62,42
-74.17,40.63,42
-74.17,40.64,42
-74.16,40.53,42
-74.16,40.54,42
-74.16,40.55,42
-74.16,40.56,42
-74.16,40.57,42
-74.16,40.58,42
-74.16,40.59,42
-74.16,40.6,42
-74.16,40.61,42
-74.16,40.62,42
-74.16,40.63,42
-74.16,40.64,42
-74.15,40.54,42
-74.15,40.55,42
-74.15,40.56,42
-74.15,40.57,42
-74.15,40.58,42
-74.15,40.59,42
-74.15,40.6,42
-74.15,40.61,42
-74.15,40.62,42
-74.15,40.63,42
-74.14,40.54,42
-74.14,40.55,42
-74.14,40.56,42
-74.14,40.57,42
-74.14,40.58,42
-74.14,40.59,42
-74.14,40.6,42
-74.14,40.61,42
-74.14,40.62,42
-74.14,40.63,42
-74.14,40.64,42
-74.13,40.54,42
-74.13,40.55,42
-74.13,40.56,42
-74.13,40.57,42
-74.13,40.58,42
-74.13,40.59,42
-74.13,40.6,42
-74.13,40.61,42
-74.13,40.62,42
-74.13,40.63,42
-74.13,40.64,42
-74.12,40.55,42
-74.12,40.56,42
-74.12,40.57,42
-74.12,40.58,42
-74.12,40.59,42
-74.12,40.6,42
-74.12,40.61,42
-74.12,40.62,42
-74.12,40.63,42
-74.12,40.64,42
-74.11,40.55,42
-74.11,40.56,42
-74.11,40.57,42
-74.11,40.58,42
-74.11,40.59,42
-74.11,40.6,42
-74.11,40.61,42
-74.11,40.62,42
-74.11,40.63,42
-74.11,40.64,42
-74.1,40.56,42
-74.1,40.57,42
-74.1,40.58,42
-74.1,40.59,42
-74.1,40.6,42
-74.1,40.61,42
-74.1,40.62,42
-74.1,40.63,42
-74.1,40.64,42
-74.09,40.57,42
-74.09,40.58,42
-74.09,40.59,42
-74.09,40.6,42
-74.09,40.61,42
-74.09,40.62,42
-74.09,40.63,42
-74.09,40.64,42
-74.08,40.58,42
-74.08,40.59,42
-74.08,40.6,42
-74.08,40.61,42
-74.08,40.62,42
-74.08,40.63,42
-74.08,40.64,42
-74.07,40.59,42
-74.07,40.6,42
-74.07,40.61,42
-74.07,40.62,42
-74.07,40.63,42
-74.07,40.64,42
-74.06,40.6,42
-74.06,40.61,42
-74.04,40.62,23
-74.04,40.63,23
-74.04,40.7,30
-74.03,40.61,23
-74.03,40.62,23
-74.03,40.63,23
-74.03,40.64,23
-74.02,40.61,23
-74.02,40.62,23
-74.02,40.63,23
-74.02,40.64,23
-74.02,40.65,23
-74.02,40.68,30
-74.02,40.69,30
-74.02,40.71,30
-74.02,40.72,30
-74.02,40.73,30
-74.01,40.58,23
-74.01,40.61,23
-74.01,40.62,23
-74.01,40.63,23
-74.01,40.64,23
-74.01,40.65,23
-74.01,40.66,23
-74.01,40.67,23
-74.01,40.68,23
-74.01,40.69,30
-74.01,40.7,30
-74.01,40.71,30
-74.01,40.72,30
-74.01,40.73,30
-74.01,40.74,30
-74.01,40.75,30
-74.01,40.76,30
-74.0,40.58,23
-74.0,40.59,23
-74.0,40.6,23
-74.0,40.61,23
-74.0,40.62,23
-74.0,40.63,23
-74.0,40.64,23
-74.0,40.65,23
-74.0,40.66,23
-74.0,40.67,23
-74.0,40.68,23
-74.0,40.69,23
-74.0,40.7,30
-74.0,40.71,30
-74.0,40.72,30
-74.0,40.73,30
-74.0,40.74,30
-74.0,40.75,30
-74.0,40.76,30
-74.0,40.77,30
-73.99,40.58,23
-73.99,40.59,23
-73.99,40.6,23
-73.99,40.61,23
-73.99,40.62,23
-73.99,40.63,23
